Feature,Importance
rolling_mean_4,0.5816892175834262
rolling_std_4,0.07802081079344204
weekly_subscribers,0.04642222125706217
fortnightly_subscribers,0.045968671454667646
lag_1,0.04434248093351265
lag_2,0.03778730898742878
is_marketing_week,0.03739538513433439
lag_3,0.03733097218687164
lag_4,0.023707940157437376
subscriber_ratio,0.0191255675285591
holiday_week,0.017144074780656982
month,0.00551287133673676
is_spring,0.003485238247185683
box_MV,0.0027785478483681614
box_LFV,0.0025786838321955967
box_XSFV,0.00254092576627377
box_MFV,0.0023785825794089286
box_SFV,0.0023114333213306217
box_SV,0.0021386720263058944
box_FB,0.002061511334428629
is_fall,0.002026385236745864
box_LV,0.0017494178601024594
is_summer,0.0009783915621275837
is_winter,0.0005246882513912439
